"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
161729,"Sistem Informasi","P","Tablet","Buku","Cukup","Rendah",5.1,"ADK1-070182B7"
536141,"Sains Aktuaria","P","Smartphone","Video","Cukup","Rendah",6.7,"ADK1-070182B7"
273933,"Sains Data","P","Laptop","Diskusi","Cukup","Rendah",5.5,"ADK1-070182B7"
379028,"Sains Aktuaria","P","Smartphone","Video","Tidak Puas","Tinggi",10.5,"ADK1-070182B7"
463998,"Sistem Informasi","P","Smartphone","Video","Sangat Puas","Tinggi",10.5,"ADK1-070182B7"
109895,"Sistem Informasi","L","Laptop","Diskusi","Cukup","Rendah",5.5,"ADK1-070182B7"
927404,"Sistem Informasi","P","Smartphone","Praktik","Cukup","Sedang",5.2,"ADK1-070182B7"
995371,"Sistem Informasi","L","Smartphone","Diskusi","Cukup","Tinggi",10.9,"ADK1-070182B7"
713190,"Sains Aktuaria","L","Smartphone","Diskusi","Cukup","Sedang",6.5,"ADK1-070182B7"
726896,"Sistem Informasi","P","Smartphone","Video","Cukup","Sedang",6.1,"ADK1-070182B7"
810813,"Sains Data","P","Laptop","Praktik","Puas","Tinggi",10.6,"ADK1-070182B7"
257999,"Sistem Informasi","P","Tablet","Praktik","Sangat Puas","Tinggi",9.1,"ADK1-070182B7"
542711,"Sains Aktuaria","L","Laptop","Diskusi","Sangat Puas","Sedang",5.1,"ADK1-070182B7"
703873,"Sains Aktuaria","P","Laptop","Buku","Tidak Puas","Sedang",6.5,"ADK1-070182B7"
263169,"Sains Data","P","Laptop","Video","Tidak Puas","Rendah",2.8,"ADK1-070182B7"
216298,"Matematika","L","Laptop","Diskusi","Puas","Sedang",6,"ADK1-070182B7"
416266,"Matematika","L","Smartphone","Diskusi","Puas","Tinggi",9.5,"ADK1-070182B7"
813964,"Sains Aktuaria","P",,"Video","Puas","Sedang",7.2,"ADK1-070182B7"
260180,"Matematika","L","Tablet","Diskusi","Tidak Puas","Sedang",10.3,"ADK1-070182B7"
857252,"Sains Data","L","Smartphone","Praktik","Cukup","Sedang",5.8,"ADK1-070182B7"
190499,"Sistem Informasi","P","Smartphone","Video","Puas","Tinggi",11.7,"ADK1-070182B7"
882196,"Sains Aktuaria","L","Smartphone","Buku","Puas","Sedang",5.4,"ADK1-070182B7"
411063,"Matematika","L","Smartphone","Video","Puas","Sedang",6.6,"ADK1-070182B7"
433119,"Sains Data","L","Laptop","Diskusi","Sangat Puas","Tinggi",10,"ADK1-070182B7"
238734,"Sistem Informasi","P","Smartphone","Diskusi","Sangat Puas","Tinggi",8.9,"ADK1-070182B7"
124491,"Sistem Informasi","P","Smartphone","Buku","Cukup","Sedang",8.8,"ADK1-070182B7"
929664,"Sains Data","L","Tablet","Diskusi","Puas","Tinggi",8.8,"ADK1-070182B7"
644405,"Sistem Informasi","P","Laptop","Video","Cukup","Sedang",10.2,"ADK1-070182B7"
672320,"Sains Aktuaria","P","Laptop","Diskusi","Sangat Puas","Sedang",8.9,"ADK1-070182B7"
938042,"Sains Aktuaria","L","Smartphone","Buku","Sangat Puas","Rendah",2.2,"ADK1-070182B7"
700990,"Sistem Informasi","P","Laptop","Praktik","Cukup","Sedang",7.1,"ADK1-070182B7"
624069,"Sains Aktuaria","P","Smartphone","Buku","Tidak Puas","Tinggi",8.9,"ADK1-070182B7"
183722,"Sains Data","P","Tablet","Praktik","Tidak Puas","Tinggi",10.9,"ADK1-070182B7"
100462,"Sains Data","L","Smartphone","Buku","Sangat Puas","Rendah",4.8,"ADK1-070182B7"
521120,"Sistem Informasi","P","Tablet","Diskusi","Cukup","Sedang",7.1,"ADK1-070182B7"
188293,"Sains Aktuaria","L","Smartphone","Diskusi","Sangat Puas","Tinggi",10.7,"ADK1-070182B7"
483729,"Sains Data","L","Smartphone","Buku","Puas","Sedang",,"ADK1-070182B7"
313689,"Sains Data","L","Smartphone","Buku","Puas","Rendah",7.8,"ADK1-070182B7"
107884,"Sains Data","P","Smartphone","Praktik","Sangat Puas","Tinggi",7.4,"ADK1-070182B7"
432473,"Sains Aktuaria","L","Smartphone","Video","Puas","Tinggi",8.3,"ADK1-070182B7"
659002,"Sains Aktuaria","L","Smartphone","Video","Tidak Puas","Rendah",5.9,"ADK1-070182B7"
974639,"Matematika","P","Smartphone","Praktik","Cukup","Tinggi",11.4,"ADK1-070182B7"
551652,"Sains Aktuaria","P","Smartphone","Diskusi","Cukup","Sedang",6.9,"ADK1-070182B7"
297079,"Sains Aktuaria","L","Smartphone","Diskusi","Cukup","Tinggi",11,"ADK1-070182B7"
205207,"Sains Data","P","Laptop","Diskusi","Cukup","Tinggi",5.8,"ADK1-070182B7"
739506,"Sains Data","P","Smartphone","Diskusi","Tidak Puas","Rendah",0.9,"ADK1-070182B7"
442637,"Sains Aktuaria","P","Smartphone","Buku","Sangat Puas","Rendah",4.4,"ADK1-070182B7"
785199,"Sistem Informasi","L","Smartphone","Praktik","Cukup","Tinggi",9.3,"ADK1-070182B7"
409160,"Matematika","P","Smartphone","Video","Cukup","Tinggi",10.8,"ADK1-070182B7"
997577,"Matematika","L","Tablet","Video","Tidak Puas","Tinggi",9.5,"ADK1-070182B7"
149298,"Sains Data","P","Smartphone","Video","Puas","Sedang",8.5,"ADK1-070182B7"
896854,"Sistem Informasi","L","Smartphone","Video","Cukup","Tinggi",10.1,"ADK1-070182B7"
250276,"Sains Data","L","Laptop","Buku","Tidak Puas","Tinggi",10.1,"ADK1-070182B7"
699047,"Sains Aktuaria","P","Smartphone","Diskusi","Cukup","Rendah",1.7,"ADK1-070182B7"
336608,"Sains Aktuaria","L","Smartphone","Diskusi","Sangat Puas","Sedang",5.8,"ADK1-070182B7"
670099,"Sains Data","L","Tablet","Video","Puas","Sedang",6.2,"ADK1-070182B7"
223724,"Matematika","P","Smartphone","Praktik","Cukup","Rendah",3.2,"ADK1-070182B7"
336808,"Sains Aktuaria","L","Smartphone","Diskusi","Puas","Tinggi",8.1,"ADK1-070182B7"
818640,"Matematika","P","Smartphone","Video","Cukup","Sedang",9,"ADK1-070182B7"
501363,"Sains Data","P","Smartphone","Diskusi","Sangat Puas","Tinggi",9.7,"ADK1-070182B7"
647731,"Matematika","L","Smartphone","Diskusi","Puas","Rendah",4.1,"ADK1-070182B7"
242185,"Sains Aktuaria","L","Smartphone","Praktik","Cukup","Sedang",8.4,"ADK1-070182B7"
960527,"Sistem Informasi","L","Smartphone","Diskusi","Cukup","Sedang",4.6,"ADK1-070182B7"
242933,"Sains Data","P","Smartphone","Praktik","Puas","Tinggi",10.5,"ADK1-070182B7"
836839,"Sistem Informasi","L","Smartphone","Video","Puas","Tinggi",7.6,"ADK1-070182B7"
827468,"Matematika","P","Tablet","Praktik","Sangat Puas","Sedang",10.2,"ADK1-070182B7"
874803,"Sistem Informasi","L","Tablet","Praktik","Puas","Sedang",7.2,"ADK1-070182B7"
280070,"Matematika","L","Smartphone","Praktik","Cukup","Rendah",4.8,"ADK1-070182B7"
307078,"Sains Aktuaria","P","Smartphone","Diskusi",,"Rendah",3.6,"ADK1-070182B7"
459658,"Sains Aktuaria","L","Smartphone","Buku","Cukup","Rendah",3.8,"ADK1-070182B7"
114220,"Matematika","P","Laptop","Buku","Puas","Tinggi",9.9,"ADK1-070182B7"
471278,"Sains Data","P","Smartphone","Praktik","Puas","Tinggi",10.4,"ADK1-070182B7"
412117,"Matematika","P","Smartphone","Diskusi","Cukup","Tinggi",9.3,"ADK1-070182B7"
478846,"Sistem Informasi","L","Laptop",,"Sangat Puas","Tinggi",10.3,"ADK1-070182B7"
584213,"Sistem Informasi","P","Smartphone","Diskusi","Cukup","Sedang",6.7,"ADK1-070182B7"
662815,"Sistem Informasi","P","Tablet","Buku","Puas","Sedang",8.7,"ADK1-070182B7"
701790,"Sains Aktuaria","P","Smartphone","Praktik","Cukup","Rendah",5.5,"ADK1-070182B7"
867313,"Sains Data","L","Smartphone","Diskusi","Sangat Puas","Tinggi",9.6,"ADK1-070182B7"
530786,"Sains Data","P","Smartphone","Diskusi","Sangat Puas","Tinggi",11.3,"ADK1-070182B7"
255539,"Sains Data","P","Smartphone","Diskusi","Cukup","Tinggi",8.9,"ADK1-070182B7"
854407,"Sains Data","P","Laptop","Video","Sangat Puas","Rendah",3.4,"ADK1-070182B7"
867769,"Sains Data","P","Smartphone","Diskusi","Sangat Puas","Tinggi",8.5,"ADK1-070182B7"
455219,"Sains Aktuaria","P","Laptop","Diskusi","Cukup","Rendah",,"ADK1-070182B7"
466561,"Sains Data","P","Tablet","Diskusi","Tidak Puas","Rendah",2.6,"ADK1-070182B7"
579763,"Sistem Informasi","P","Smartphone","Praktik","Cukup","Sedang",7.5,"ADK1-070182B7"
369360,"Sains Data","L","Laptop","Video","Puas","Sedang",5.4,"ADK1-070182B7"
585391,"Sistem Informasi","L","Smartphone","Diskusi","Tidak Puas","Sedang",5.6,"ADK1-070182B7"
681889,"Sains Aktuaria","P","Smartphone","Buku","Tidak Puas","Sedang",6.2,"ADK1-070182B7"
632164,"Sistem Informasi","P","Smartphone","Video","Puas","Tinggi",9.7,"ADK1-070182B7"
737095,"Sains Aktuaria","L","Tablet","Diskusi","Sangat Puas","Sedang",7.6,"ADK1-070182B7"
839117,"Sains Data","P","Laptop","Praktik","Sangat Puas","Tinggi",12,"ADK1-070182B7"
692221,"Matematika","P","Smartphone","Buku","Puas","Tinggi",10.8,"ADK1-070182B7"
932707,"Sains Data","P","Smartphone","Diskusi","Sangat Puas","Tinggi",7.1,"ADK1-070182B7"
